repo,sha,parent,child,lic_parent,lic_child
apache/airflow,,@vitest/mocker,vite,unknown,Apache-2.0 AND BSD-2-Clause AND BlueOak-1.0.0 AND CC0-1.0 AND ISC AND MIT
apache/airflow,,@vitest/mocker,msw,unknown,MIT
apache/airflow,,@vitest/mocker,@vitest/spy,unknown,MIT
apache/airflow,,estree-walker,@types/estree,MIT,MIT
apache/airflow,,magic-string,@jridgewell/sourcemap-codec,MIT,MIT
apache/airflow,,vite,fsevents,Apache-2.0 AND BSD-2-Clause AND BlueOak-1.0.0 AND CC0-1.0 AND ISC AND MIT,MIT
apache/airflow,,vite,postcss,Apache-2.0 AND BSD-2-Clause AND BlueOak-1.0.0 AND CC0-1.0 AND ISC AND MIT,MIT
apache/airflow,,vite,rollup,Apache-2.0 AND BSD-2-Clause AND BlueOak-1.0.0 AND CC0-1.0 AND ISC AND MIT,unknown
apache/airflow,,vite,@types/node,Apache-2.0 AND BSD-2-Clause AND BlueOak-1.0.0 AND CC0-1.0 AND ISC AND MIT,MIT
apache/airflow,,vite,esbuild,Apache-2.0 AND BSD-2-Clause AND BlueOak-1.0.0 AND CC0-1.0 AND ISC AND MIT,unknown
apache/airflow,,vite,tinyglobby,Apache-2.0 AND BSD-2-Clause AND BlueOak-1.0.0 AND CC0-1.0 AND ISC AND MIT,MIT
apache/airflow,,vite,fdir,Apache-2.0 AND BSD-2-Clause AND BlueOak-1.0.0 AND CC0-1.0 AND ISC AND MIT,MIT
apache/airflow,,vite,picomatch,Apache-2.0 AND BSD-2-Clause AND BlueOak-1.0.0 AND CC0-1.0 AND ISC AND MIT,MIT
apache/airflow,,vite,jiti,Apache-2.0 AND BSD-2-Clause AND BlueOak-1.0.0 AND CC0-1.0 AND ISC AND MIT,MIT
apache/airflow,,msw,@types/cookie,MIT,MIT
apache/airflow,,msw,@bundled-es-modules/statuses,MIT,ISC
apache/airflow,,msw,yargs,MIT,MIT
apache/airflow,,msw,picocolors,MIT,ISC
apache/airflow,,msw,@open-draft/until,MIT,MIT
apache/airflow,,msw,outvariant,MIT,MIT
apache/airflow,,msw,strict-event-emitter,MIT,MIT
apache/airflow,,msw,path-to-regexp,MIT,MIT
apache/airflow,,msw,@open-draft/deferred-promise,MIT,MIT
apache/airflow,,msw,is-node-process,MIT,MIT
apache/airflow,,msw,@bundled-es-modules/cookie,MIT,ISC
apache/airflow,,msw,headers-polyfill,MIT,MIT
apache/airflow,,msw,@bundled-es-modules/tough-cookie,MIT,ISC
apache/airflow,,msw,typescript,MIT,Apache-2.0
apache/airflow,,msw,type-fest,MIT,CC0-1.0 AND MIT
apache/airflow,,msw,@inquirer/confirm,MIT,MIT
apache/airflow,,msw,@mswjs/interceptors,MIT,MIT
apache/airflow,,msw,graphql,MIT,MIT
apache/airflow,,msw,@types/statuses,MIT,MIT
apache/airflow,,@vitest/spy,tinyspy,MIT,MIT
apache/airflow,,ajv,fast-json-stable-stringify,unknown,MIT
apache/airflow,,ajv,uri-js,unknown,BSD-2-Clause AND BSD-2-Clause-Views
apache/airflow,,ajv,json-schema-traverse,unknown,MIT
apache/airflow,,ajv,fast-deep-equal,unknown,MIT
apache/airflow,,ajv,require-from-string,unknown,MIT
apache/airflow,,ajv,fast-uri,unknown,BSD-3-Clause
apache/airflow,,uri-js,punycode,BSD-2-Clause AND BSD-2-Clause-Views,MIT
apache/airflow,,fs-minipass,minipass,unknown,ISC
apache/airflow,,minipass,yallist,ISC,ISC
apache/airflow,,@codemirror/theme-one-dark,@lezer/highlight,unknown,unknown
apache/airflow,,@codemirror/theme-one-dark,@codemirror/state,unknown,MIT
apache/airflow,,@codemirror/theme-one-dark,@codemirror/language,unknown,MIT
apache/airflow,,@codemirror/theme-one-dark,@codemirror/view,unknown,MIT
apache/airflow,,@codemirror/state,@marijn/find-cluster-break,MIT,MIT
apache/airflow,,@codemirror/language,@lezer/common,MIT,MIT
apache/airflow,,@codemirror/language,@lezer/lr,MIT,unknown
apache/airflow,,@codemirror/language,@lezer/highlight,MIT,unknown
apache/airflow,,@codemirror/language,style-mod,MIT,MIT
apache/airflow,,@codemirror/language,@codemirror/state,MIT,MIT
apache/airflow,,@codemirror/language,@codemirror/view,MIT,MIT
apache/airflow,,@codemirror/view,w3c-keyname,MIT,MIT
apache/airflow,,@codemirror/view,style-mod,MIT,MIT
apache/airflow,,@codemirror/view,@codemirror/state,MIT,MIT
apache/airflow,,brace-expansion,balanced-match,unknown,MIT
apache/airflow,,brace-expansion,concat-map,unknown,MIT
apache/airflow,,readdirp,picomatch,unknown,MIT
apache/airflow,,tough-cookie,url-parse,unknown,MIT
apache/airflow,,tough-cookie,universalify,unknown,MIT
apache/airflow,,tough-cookie,punycode,unknown,MIT
apache/airflow,,tough-cookie,psl,unknown,MIT
apache/airflow,,url-parse,querystringify,MIT,MIT
apache/airflow,,url-parse,requires-port,MIT,MIT
apache/airflow,,psl,punycode,MIT,MIT
apache/airflow,,react-textarea-autosize,use-composed-ref,unknown,MIT
apache/airflow,,react-textarea-autosize,use-latest,unknown,MIT
apache/airflow,,react-textarea-autosize,@babel/runtime,unknown,MIT
apache/airflow,,react-textarea-autosize,react,unknown,MIT
apache/airflow,,use-composed-ref,react,MIT,MIT
apache/airflow,,use-composed-ref,@types/react,MIT,MIT
apache/airflow,,use-latest,use-isomorphic-layout-effect,MIT,MIT
apache/airflow,,use-latest,react,MIT,MIT
apache/airflow,,use-latest,@types/react,MIT,MIT
