repo,sha,name,license,is_root
apache/airflow,,is-glob,MIT,False
apache/airflow,,minimatch,ISC,False
apache/airflow,,ts-api-utils,MIT,False
apache/airflow,,semver,ISC,False
apache/airflow,,@typescript-eslint/types,MIT,False
apache/airflow,,debug,MIT,False
apache/airflow,,@typescript-eslint/visitor-keys,MIT,False
apache/airflow,,unbox-primitive,unknown,False
apache/airflow,,has-symbols,MIT,False
apache/airflow,,has-bigints,MIT,False
apache/airflow,,@babel/generator,unknown,False
apache/airflow,,source-map,BSD-3-Clause,False
apache/airflow,,jsesc,MIT,False
apache/airflow,,@types/debug,unknown,False
apache/airflow,,@types/ms,MIT,False
apache/airflow,,property-information,unknown,False
apache/airflow,,xtend,MIT,False
apache/airflow,,esrecurse,unknown,False
apache/airflow,,estraverse,BSD-2-Clause,False
apache/airflow,,why-is-node-running,unknown,False
apache/airflow,,siginfo,ISC,False
apache/airflow,,stackback,MIT,False
apache/airflow,,regenerator-runtime,MIT,False
apache/airflow,,@typescript-eslint/parser,unknown,False
apache/airflow,,@typescript-eslint/scope-manager,MIT,False
apache/airflow,,@zag-js/file-utils,unknown,False
apache/airflow,,@zag-js/i18n-utils,unknown,False
apache/airflow,,eslint-plugin-i18next,unknown,False
apache/airflow,,lodash,CC0-1.0 AND MIT,False
apache/airflow,,requireindex,MIT,False
apache/airflow,,@zag-js/toggle-group,unknown,False
apache/airflow,,@eslint/eslintrc,unknown,False
apache/airflow,,js-yaml,MIT,False
apache/airflow,,globals,MIT,False
apache/airflow,,strip-json-comments,MIT,False
apache/airflow,,ignore,MIT,False
apache/airflow,,@zag-js/timer,unknown,False
apache/airflow,,@uiw/codemirror-theme-atomone,unknown,False
apache/airflow,,@zag-js/slider,unknown,False
apache/airflow,,unist-util-position,unknown,False
apache/airflow,,mdast-util-mdxjs-esm,unknown,False
apache/airflow,,@types/estree-jsx,MIT,False
apache/airflow,,mdast-util-to-markdown,MIT,False
apache/airflow,,mdast-util-from-markdown,MIT,False
apache/airflow,,@types/mdast,MIT,False
apache/airflow,,@types/hast,MIT,False
apache/airflow,,devlop,MIT,False
apache/airflow,,chokidar,unknown,False
apache/airflow,,normalize-path,MIT,False
apache/airflow,,glob-parent,ISC,False
apache/airflow,,is-binary-path,MIT,False
apache/airflow,,anymatch,ISC,False
apache/airflow,,braces,MIT,False
apache/airflow,,fsevents,MIT,False
apache/airflow,,hast-util-to-jsx-runtime,unknown,False
apache/airflow,,hast-util-whitespace,MIT,False
apache/airflow,,mdast-util-mdx-expression,MIT,False
apache/airflow,,comma-separated-tokens,MIT,False
apache/airflow,,estree-util-is-identifier-name,MIT,False
apache/airflow,,space-separated-tokens,MIT,False
apache/airflow,,mdast-util-mdx-jsx,MIT,False
apache/airflow,,style-to-js,MIT,False
apache/airflow,,@types/estree,MIT,False
apache/airflow,,@tanstack/react-query,unknown,False
apache/airflow,,@tanstack/query-core,MIT,False
apache/airflow,,@open-draft/logger,unknown,False
apache/airflow,,d3-geo,unknown,False
apache/airflow,,d3-array,ISC,False
apache/airflow,,@zag-js/toast,unknown,False
apache/airflow,,ms,MIT,False
apache/airflow,,@zag-js/time-picker,unknown,False
apache/airflow,,@internationalized/date,unknown,False
apache/airflow,,@zag-js/tour,unknown,False
apache/airflow,,@zag-js/interact-outside,unknown,False
apache/airflow,,unified,unknown,False
apache/airflow,,extend,MIT,False
apache/airflow,,bail,MIT,False
apache/airflow,,trough,MIT,False
apache/airflow,,is-plain-obj,MIT,False
apache/airflow,,vfile,MIT,False
apache/airflow,,@inquirer/core,unknown,False
apache/airflow,,mute-stream,ISC,False
apache/airflow,,yoctocolors-cjs,MIT,False
apache/airflow,,signal-exit,ISC,False
apache/airflow,,cli-width,ISC,False
apache/airflow,,ansi-escapes,MIT,False
apache/airflow,,@types/node,MIT,False
apache/airflow,,@inquirer/type,MIT,False
apache/airflow,,@inquirer/figures,MIT,False
apache/airflow,,micromark-extension-gfm-tagfilter,unknown,False
apache/airflow,,micromark-util-types,MIT,False
apache/airflow,,@jridgewell/trace-mapping,unknown,False
apache/airflow,,@jridgewell/sourcemap-codec,MIT,False
apache/airflow,,@jridgewell/resolve-uri,MIT,False
apache/airflow,,spdx-exceptions,CC-BY-3.0,False
apache/airflow,,@uiw/codemirror-theme-gruvbox-dark,unknown,False
apache/airflow,,magicast,unknown,False
apache/airflow,,source-map-js,BSD-3-Clause,False
apache/airflow,,@babel/parser,MIT,False
apache/airflow,,@pkgr/core,MIT,False
apache/airflow,,micromark-util-decode-string,MIT,False
apache/airflow,,mdast-util-to-string,MIT,False
apache/airflow,,micromark-util-classify-character,MIT,False
apache/airflow,,longest-streak,MIT,False
apache/airflow,,zwitch,MIT,False
apache/airflow,,mdast-util-phrasing,MIT,False
apache/airflow,,unist-util-visit,MIT,False
apache/airflow,,clean-regexp,unknown,False
apache/airflow,,escape-string-regexp,MIT,False
apache/airflow,,@types/d3-interpolate,unknown,False
apache/airflow,,@types/d3-color,MIT,False
apache/airflow,,optionator,unknown,False
apache/airflow,,type-check,MIT,False
apache/airflow,,levn,MIT,False
apache/airflow,,prelude-ls,MIT,False
apache/airflow,,fast-levenshtein,MIT,False
apache/airflow,,word-wrap,MIT,False
apache/airflow,,deep-is,MIT,False
apache/airflow,,@visx/shape,unknown,False
apache/airflow,,@visx/curve,MIT,False
apache/airflow,,@visx/group,MIT,False
apache/airflow,,@types/d3-shape,MIT,False
apache/airflow,,d3-shape,BSD-3-Clause,False
apache/airflow,,d3-path,BSD-3-Clause,False
apache/airflow,,@visx/scale,MIT,False
apache/airflow,,classnames,MIT,False
apache/airflow,,@types/d3-path,MIT,False
apache/airflow,,prop-types,MIT,False
apache/airflow,,@types/lodash,MIT,False
apache/airflow,,@types/react,MIT,False
apache/airflow,,@uiw/codemirror-theme-copilot,unknown,False
apache/airflow,,@testing-library/dom,unknown,False
apache/airflow,,chalk,MIT,False
apache/airflow,,@types/aria-query,MIT,False
apache/airflow,,lz-string,MIT,False
apache/airflow,,dom-accessibility-api,MIT,False
apache/airflow,,pretty-format,MIT,False
apache/airflow,,@babel/code-frame,MIT,False
apache/airflow,,@uiw/codemirror-theme-kimbie,unknown,False
apache/airflow,,@hey-api/openapi-ts,unknown,False
apache/airflow,,handlebars,MIT,False
apache/airflow,,commander,MIT,False
apache/airflow,,c12,MIT,False
apache/airflow,,camelcase,MIT,False
apache/airflow,,@apidevtools/json-schema-ref-parser,MIT,False
apache/airflow,,cross-fetch,unknown,False
apache/airflow,,node-fetch,MIT,False
apache/airflow,,is-alphanumerical,unknown,False
apache/airflow,,is-alphabetical,MIT,False
apache/airflow,,is-decimal,MIT,False
apache/airflow,,strip-indent,unknown,False
apache/airflow,,min-indent,MIT,False
apache/airflow,,@uiw/codemirror-theme-solarized,unknown,False
apache/airflow,,is-string,unknown,False
apache/airflow,,rollup,unknown,False
apache/airflow,,@rollup/rollup-linux-arm-musleabihf,MIT,False
apache/airflow,,@rollup/rollup-android-arm64,MIT,False
apache/airflow,,@rollup/rollup-freebsd-x64,MIT,False
apache/airflow,,@rollup/rollup-darwin-x64,MIT,False
apache/airflow,,@rollup/rollup-linux-powerpc64le-gnu,MIT,False
apache/airflow,,@rollup/rollup-win32-arm64-msvc,MIT,False
apache/airflow,,@rollup/rollup-linux-loongarch64-gnu,MIT,False
apache/airflow,,@rollup/rollup-linux-x64-musl,MIT,False
apache/airflow,,@rollup/rollup-linux-s390x-gnu,MIT,False
apache/airflow,,@rollup/rollup-linux-riscv64-musl,MIT,False
apache/airflow,,@rollup/rollup-linux-arm64-gnu,MIT,False
apache/airflow,,@rollup/rollup-linux-riscv64-gnu,MIT,False
apache/airflow,,@rollup/rollup-linux-x64-gnu,MIT,False
apache/airflow,,@rollup/rollup-linux-arm64-musl,MIT,False
apache/airflow,,@rollup/rollup-darwin-arm64,MIT,False
apache/airflow,,@rollup/rollup-android-arm-eabi,MIT,False
apache/airflow,,@rollup/rollup-win32-x64-msvc,MIT,False
apache/airflow,,@rollup/rollup-win32-ia32-msvc,MIT,False
apache/airflow,,@rollup/rollup-freebsd-arm64,MIT,False
apache/airflow,,@rollup/rollup-linux-arm-gnueabihf,MIT,False
apache/airflow,,@uiw/codemirror-theme-material,unknown,False
apache/airflow,,@types/react-dom,unknown,False
apache/airflow,,es-shim-unscopables,unknown,False
apache/airflow,,hasown,MIT,False
apache/airflow,,@types/json-schema,MIT,False
apache/airflow,,cross-spawn,MIT,False
apache/airflow,,json-stable-stringify-without-jsonify,MIT,False
apache/airflow,,esquery,BSD-3-Clause,False
apache/airflow,,esutils,BSD-2-Clause,False
apache/airflow,,@humanwhocodes/module-importer,Apache-2.0,False
apache/airflow,,lodash.merge,MIT,False
apache/airflow,,imurmurhash,MIT,False
apache/airflow,,find-up,MIT,False
apache/airflow,,file-entry-cache,MIT,False
apache/airflow,,@eslint-community/regexpp,MIT,False
apache/airflow,,jiti,MIT,False
apache/airflow,,@eslint/plugin-kit,Apache-2.0,False
apache/airflow,,@eslint/core,Apache-2.0,False
apache/airflow,,zod,MIT,False
apache/airflow,,@eslint/config-array,Apache-2.0,False
apache/airflow,,eslint-visitor-keys,Apache-2.0,False
apache/airflow,,eslint-scope,BSD-2-Clause,False
apache/airflow,,@eslint/js,MIT,False
apache/airflow,,@modelcontextprotocol/sdk,MIT,False
apache/airflow,,@eslint/config-helpers,Apache-2.0,False
apache/airflow,,remark-parse,unknown,False
apache/airflow,,array.prototype.tosorted,unknown,False
apache/airflow,,flat-cache,MIT,False
apache/airflow,,@emotion/cache,unknown,False
apache/airflow,,stylis,MIT,False
apache/airflow,,@emotion/utils,MIT,False
apache/airflow,,@emotion/memoize,MIT,False
apache/airflow,,@emotion/sheet,MIT,False
apache/airflow,,@emotion/weak-memoize,MIT,False
apache/airflow,,@uiw/codemirror-theme-abyss,unknown,False
apache/airflow,,@zag-js/scroll-snap,unknown,False
apache/airflow,,@tanstack/react-table,unknown,False
apache/airflow,,@tanstack/table-core,MIT,False
apache/airflow,,@zag-js/focus-visible,unknown,False
apache/airflow,,micromark-util-symbol,MIT,False
apache/airflow,,micromark-util-character,MIT,False
apache/airflow,,binary-extensions,MIT,False
apache/airflow,,d3-scale,unknown,False
apache/airflow,,d3-format,ISC,False
apache/airflow,,d3-time,ISC,False
apache/airflow,,d3-time-format,ISC,False
apache/airflow,,d3-interpolate,ISC,False
apache/airflow,,string.prototype.trim,unknown,False
apache/airflow,,define-data-property,MIT,False
apache/airflow,,@testing-library/react,unknown,False
apache/airflow,,validate-npm-package-license,unknown,False
apache/airflow,,mdast-util-to-hast,unknown,False
apache/airflow,,trim-lines,MIT,False
apache/airflow,,micromark-util-sanitize-uri,MIT,False
apache/airflow,,@ungap/structured-clone,ISC,False
apache/airflow,,is-shared-array-buffer,unknown,False
apache/airflow,,@types/d3-geo,unknown,False
apache/airflow,,@types/geojson,MIT,False
apache/airflow,,make-dir,unknown,False
apache/airflow,,side-channel-list,unknown,False
apache/airflow,,object-inspect,MIT,False
apache/airflow,,@uiw/react-codemirror,unknown,False
apache/airflow,,codemirror,MIT,False
apache/airflow,,@codemirror/commands,MIT,False
apache/airflow,,@uiw/codemirror-extensions-basic-setup,MIT,False
apache/airflow,,@zag-js/floating-panel,unknown,False
apache/airflow,,@zag-js/rect-utils,unknown,False
apache/airflow,,iterator.prototype,unknown,False
apache/airflow,,set-function-name,MIT,False
apache/airflow,,csstype,MIT,False
apache/airflow,,@types/prop-types,MIT,False
apache/airflow,,to-fast-properties,MIT,False
apache/airflow,,error-ex,unknown,False
apache/airflow,,is-arrayish,MIT,False
apache/airflow,,d3-drag,unknown,False
apache/airflow,,d3-dispatch,ISC,False
apache/airflow,,d3-selection,ISC,False
apache/airflow,,@codemirror/lint,MIT,False
apache/airflow,,@codemirror/autocomplete,MIT,False
apache/airflow,,@codemirror/search,MIT,False
apache/airflow,,@lezer/lr,unknown,False
apache/airflow,,dom-helpers,unknown,False
apache/airflow,,eslint-plugin-react-refresh,unknown,False
apache/airflow,,@zag-js/splitter,unknown,False
apache/airflow,,is-extglob,MIT,False
apache/airflow,,is-callable,MIT,False
apache/airflow,,functions-have-names,MIT,False
apache/airflow,,regexp.prototype.flags,unknown,False
apache/airflow,,gopd,MIT,False
apache/airflow,,@eslint/object-schema,Apache-2.0,False
apache/airflow,,@zag-js/angle-slider,unknown,False
apache/airflow,,mime-types,unknown,False
apache/airflow,,mime-db,MIT,False
apache/airflow,,@testing-library/jest-dom,unknown,False
apache/airflow,,css.escape,MIT,False
apache/airflow,,redent,MIT,False
apache/airflow,,@adobe/css-tools,MIT,False
apache/airflow,,@vitest/coverage-v8,unknown,False
apache/airflow,,istanbul-lib-report,BSD-3-Clause,False
apache/airflow,,istanbul-lib-source-maps,BSD-3-Clause,False
apache/airflow,,@ampproject/remapping,Apache-2.0,False
apache/airflow,,test-exclude,ISC,False
apache/airflow,,istanbul-reports,BSD-3-Clause,False
apache/airflow,,istanbul-lib-coverage,BSD-3-Clause,False
apache/airflow,,tinyrainbow,MIT,False
apache/airflow,,@bcoe/v8-coverage,ISC AND MIT,False
apache/airflow,,std-env,MIT,False
apache/airflow,,vitest,BSD-3-Clause AND ISC AND MIT,False
apache/airflow,,@nodelib/fs.scandir,unknown,False
apache/airflow,,run-parallel,MIT,False
apache/airflow,,@nodelib/fs.stat,MIT,False
apache/airflow,,d3-color,ISC,False
apache/airflow,,remark-rehype,unknown,False
apache/airflow,,@zag-js/checkbox,unknown,False
apache/airflow,,statuses,MIT,False
apache/airflow,,zustand,unknown,False
apache/airflow,,use-sync-external-store,MIT,False
apache/airflow,,i18next-browser-languagedetector,unknown,False
apache/airflow,,@babel/helper-split-export-declaration,unknown,False
apache/airflow,,react-transition-group,unknown,False
apache/airflow,,loose-envify,MIT,False
apache/airflow,,atlassian-openapi,unknown,False
apache/airflow,,urijs,MIT,False
apache/airflow,,jsonpointer,MIT,False
apache/airflow,,@zag-js/collapsible,unknown,False
apache/airflow,,shebang-command,unknown,False
apache/airflow,,shebang-regex,MIT,False
apache/airflow,,axios,unknown,False
apache/airflow,,follow-redirects,MIT,False
apache/airflow,,proxy-from-env,MIT,False
apache/airflow,,form-data,MIT,False
apache/airflow,,i18next-http-backend,unknown,False
apache/airflow,,@zag-js/menu,unknown,False
apache/airflow,,call-bind-apply-helpers,MIT,False
apache/airflow,,pathe,MIT,False
apache/airflow,,tinybench,MIT,False
apache/airflow,,tinyexec,MIT,False
apache/airflow,,chai,MIT,False
apache/airflow,,vite-node,MIT,False
apache/airflow,,@vitest/pretty-format,MIT,False
