repo,sha,parent,child,lic_parent,lic_child,jurisdiction,label
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,github/codeql-action/autobuild,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,matplotlib,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions-ecosystem/action-remove-labels,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,peter-evans/create-pull-request,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pillow,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,thomasjpfan/labeler,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,joblib,unknown,BSD-2-Clause AND BSD-3-Clause,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pytest,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/cache,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,codespell-project/codespell-problem-matcher,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,threadpoolctl,unknown,BSD-2-Clause AND BSD-3-Clause,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scientific-python/action-towncrier-changelog,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pypa/cibuildwheel,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,seaborn,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,numpy,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,meson-python,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,github/codeql-action/init,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/checkout,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,conda-incubator/setup-miniconda,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pytest-xdist,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scikit-learn,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scientific-python/circleci-artifacts-redirector-action,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/upload-artifact,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scientific-python/upload-nightly-action,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scipy,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,andymckay/labeler,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pandas,unknown,unknown,US,
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scikit-image,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,itemloaders,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,cssselect,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,parsel,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,tldextract,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,w3lib,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,codecov/test-results-action,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,pre-commit/action,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,service-identity,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,sphinx,unknown,BSD-2-Clause AND BSD-2-Clause-Views AND BSD-3-Clause,US,
scrapy/scrapy,,com.github.scrapy/scrapy,pypa/gh-action-pypi-publish,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,pypydispatcher,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,sphinx-rtd-theme,unknown,MIT AND OFL-1.1,US,
scrapy/scrapy,,com.github.scrapy/scrapy,zope-interface,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,cryptography,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,pydispatcher,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,protego,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,sphinx-notfound-page,unknown,MIT,US,
scrapy/scrapy,,com.github.scrapy/scrapy,twisted,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,packaging,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,defusedxml,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,actions/setup-python,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,lxml,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,actions/checkout,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,codecov/codecov-action,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,itemadapter,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,queuelib,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,pyopenssl,unknown,unknown,US,
scrapy/scrapy,,com.github.scrapy/scrapy,sphinx-rtd-dark-mode,unknown,MIT,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,markdown-include-variants,unknown,MIT,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/upload-artifact,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,passlib,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/labeler,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,typing-extensions,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,inline-snapshot,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,pydantic-settings,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,playwright,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,mxschmitt/action-tmate,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,tiangolo/issue-manager,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,cairosvg,unknown,LGPL-2.0-or-later AND LGPL-3.0 AND LGPL-3.0-only AND LGPL-3.0-or-later,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,pypa/gh-action-pypi-publish,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,cloudflare/wrangler-action,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,mypy,unknown,MIT,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,jieba,unknown,MIT,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,anyio,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/setup-python,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,ruff,unknown,0BSD AND Apache-2.0 AND BSD-3-Clause AND MIT,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,pydantic,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,starlette,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,pygithub,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,gitpython,unknown,BSD-3-Clause,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,flask,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,mkdocstrings,unknown,ISC,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/add-to-project,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,mkdocs-material,unknown,MIT,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,types-orjson,unknown,Apache-2.0,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,httpx,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/download-artifact,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,black,unknown,MIT,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,re-actors/alls-green,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,sqlmodel,unknown,MIT,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,mkdocs-macros-plugin,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,tiangolo/latest-changes,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,pre-commit,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,astral-sh/setup-uv,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,coverage,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,pillow,unknown,LicenseRef-scancode-secret-labs-2011 AND MIT-CMU,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/cache,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,mkdocs-redirects,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,dirty-equals,unknown,MIT,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/checkout,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,types-ujson,unknown,Apache-2.0,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,griffe-typingdoc,unknown,ISC,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,smokeshow,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,pyyaml,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,typer,unknown,MIT,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,mdx-include,unknown,unknown,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,pydantic-ai,unknown,MIT,US,
tiangolo/fastapi,,com.github.fastapi/fastapi,pytest,unknown,unknown,US,
twisted/twisted,,com.github.twisted/twisted,codecov/codecov-action,unknown,unknown,US,
twisted/twisted,,com.github.twisted/twisted,actions/cache,unknown,unknown,US,
twisted/twisted,,com.github.twisted/twisted,CodSpeedHQ/action,unknown,unknown,US,
twisted/twisted,,com.github.twisted/twisted,actions/upload-artifact,unknown,unknown,US,
twisted/twisted,,com.github.twisted/twisted,pypa/gh-action-pypi-publish,unknown,unknown,US,
twisted/twisted,,com.github.twisted/twisted,actions/setup-python,unknown,unknown,US,
twisted/twisted,,com.github.twisted/twisted,actions/checkout,unknown,unknown,US,
twisted/twisted,,com.github.twisted/twisted,actions/download-artifact,unknown,unknown,US,
twisted/twisted,,com.github.twisted/twisted,twisted/python-info-action,unknown,unknown,US,
twisted/twisted,,com.github.twisted/twisted,mxschmitt/action-tmate,unknown,unknown,US,
