repo,sha,parent,child,lic_parent,lic_child,jurisdiction,label
apache/airflow,,com.github.apache/airflow,github/codeql-action/init,unknown,unknown,US,
apache/airflow,,com.github.apache/airflow,qdrant-client,unknown,unknown,US,
apache/airflow,,es-object-atoms,es-errors,MIT,MIT,US,
apache/airflow,,com.github.apache/airflow,react-chartjs-2,unknown,unknown,US,
apache/airflow,,com.github.apache/airflow,asyncpg,unknown,unknown,US,
apache/airflow,,d3-shape,d3-path,BSD-3-Clause,BSD-3-Clause,US,
apache/airflow,,cacheable,hookified,unknown,MIT,US,
apache/airflow,,micromark-factory-label,micromark-util-types,MIT,MIT,US,
apache/airflow,,@zag-js/tabs,@zag-js/types,unknown,unknown,US,
apache/airflow,,parse-entities,decode-named-character-reference,unknown,MIT,US,
apache/airflow,,@visx/shape,@types/d3-shape,unknown,MIT,US,
apache/airflow,,d3-drag,d3-dispatch,unknown,ISC,US,
apache/airflow,,com.github.apache/airflow,webpack-manifest-plugin,unknown,unknown,US,
apache/airflow,,@zag-js/date-picker,@zag-js/types,unknown,unknown,US,
apache/airflow,,@babel/generator,jsesc,unknown,MIT,US,
encode/uvicorn,,com.github.encode/uvicorn,mkdocs-material,unknown,MIT,US,
encode/uvicorn,,com.github.encode/uvicorn,re-actors/alls-green,unknown,unknown,US,
encode/uvicorn,,com.github.encode/uvicorn,actions/setup-python,unknown,unknown,US,
encode/uvicorn,,com.github.encode/uvicorn,actions/upload-artifact,unknown,unknown,US,
encode/uvicorn,,com.github.encode/uvicorn,click,unknown,unknown,US,
encode/uvicorn,,com.github.encode/uvicorn,pytest-mock,unknown,MIT,US,
encode/uvicorn,,com.github.encode/uvicorn,h11,unknown,MIT,US,
encode/uvicorn,,com.github.encode/uvicorn,mypy,unknown,MIT,US,
encode/uvicorn,,com.github.encode/uvicorn,pytest-xdist,unknown,MIT,US,
encode/uvicorn,,com.github.encode/uvicorn,websockets,unknown,BSD-2-Clause AND BSD-3-Clause,US,
encode/uvicorn,,com.github.encode/uvicorn,a2wsgi,unknown,Apache-2.0,US,
encode/uvicorn,,com.github.encode/uvicorn,coverage-conditional-plugin,unknown,MIT,US,
encode/uvicorn,,com.github.encode/uvicorn,build,unknown,MIT,US,
encode/uvicorn,,com.github.encode/uvicorn,coverage,unknown,Apache-2.0,US,
encode/uvicorn,,com.github.encode/uvicorn,typing-extensions,unknown,unknown,US,
encode/uvicorn,,com.github.encode/uvicorn,httpx,unknown,BSD-3-Clause,US,
encode/uvicorn,,com.github.encode/uvicorn,mkdocstrings-python,unknown,ISC,US,
encode/uvicorn,,com.github.encode/uvicorn,pytest,unknown,MIT,US,
encode/uvicorn,,com.github.encode/uvicorn,twine,unknown,Apache-2.0,US,
encode/uvicorn,,com.github.encode/uvicorn,actions/checkout,unknown,unknown,US,
encode/uvicorn,,com.github.encode/uvicorn,types-click,unknown,Apache-2.0,US,
encode/uvicorn,,com.github.encode/uvicorn,coverage-enable-subprocess,unknown,unknown,US,
encode/uvicorn,,com.github.encode/uvicorn,ruff,unknown,0BSD AND Apache-2.0 AND BSD-3-Clause AND MIT,US,
encode/uvicorn,,com.github.encode/uvicorn,cryptography,unknown,Apache-2.0 OR BSD-3-Clause OR (Apache-2.0 AND BSD-3-Clause),US,
encode/uvicorn,,com.github.encode/uvicorn,actions/download-artifact,unknown,unknown,US,
encode/uvicorn,,com.github.encode/uvicorn,wsproto,unknown,MIT,US,
encode/uvicorn,,com.github.encode/uvicorn,pypa/gh-action-pypi-publish,unknown,unknown,US,
encode/uvicorn,,com.github.encode/uvicorn,types-pyyaml,unknown,Apache-2.0 AND MIT,US,
encode/uvicorn,,com.github.encode/uvicorn,mkdocs-llmstxt,unknown,unknown,US,
encode/uvicorn,,com.github.encode/uvicorn,trustme,unknown,Apache-2.0 AND MIT,US,
encode/uvicorn,,com.github.encode/uvicorn,mkdocs,unknown,BSD-2-Clause AND BSD-3-Clause,US,
jupyter/notebook,,@istanbuljs/load-nyc-config,find-up,unknown,unknown,US,
jupyter/notebook,,git-semver-tags,semver,unknown,ISC,US,
jupyter/notebook,,@lerna/create,pify,unknown,MIT,US,
jupyter/notebook,,send,range-parser,MIT,MIT,US,
jupyter/notebook,,speech-rule-engine,wicked-good-xpath,Apache-2.0,MIT,US,
jupyter/notebook,,@babel/core,debug,MIT,MIT,US,
jupyter/notebook,,postcss-modules-local-by-default,postcss-selector-parser,unknown,MIT,US,
jupyter/notebook,,node-gyp,rimraf,MIT,ISC,US,
jupyter/notebook,,vega-wordcloud,vega-util,BSD-3-Clause,BSD-3-Clause,US,
jupyter/notebook,,jest-environment-node,@jest/types,unknown,MIT,US,
jupyter/notebook,,duplicate-package-checker-webpack-plugin,find-root,MIT,MIT,US,
jupyter/notebook,,braces,fill-range,MIT,MIT,US,
jupyter/notebook,,side-channel,object-inspect,MIT,MIT,US,
jupyter/notebook,,@stdlib/streams,@stdlib/assert,unknown,Apache-2.0,US,
jupyter/notebook,,safe-array-concat,isarray,MIT,MIT,US,
jupyter/notebook,,promise-retry,retry,unknown,MIT,US,
jupyter/notebook,,@jest/test-result,@jest/console,unknown,MIT,US,
jupyter/notebook,,@lezer/generator,@lezer/common,MIT,MIT,US,
jupyter/notebook,,@codemirror/lang-javascript,@lezer/javascript,unknown,MIT,US,
jupyter/notebook,,cytoscape-fcose,cose-base,MIT,unknown,US,
jupyter/notebook,,error-ex,is-arrayish,MIT,MIT,US,
jupyter/notebook,,@babel/traverse,@babel/helper-environment-visitor,unknown,MIT,US,
jupyter/notebook,,jest-snapshot,@babel/types,MIT,MIT,US,
jupyter/notebook,,vega-lite,yargs,unknown,MIT,US,
jupyter/notebook,,@stdlib/blas,@stdlib/math,unknown,Apache-2.0,US,
jupyter/notebook,,@jupyterlab/testing,ts-jest,BSD-3-Clause,MIT,US,
jupyter/notebook,,yargs,cliui,MIT,ISC,US,
jupyter/notebook,,@babel/plugin-transform-literals,@babel/helper-plugin-utils,unknown,MIT,US,
jupyter/notebook,,jest-runner,@jest/types,unknown,MIT,US,
jupyter/notebook,,source-map-loader,loader-utils,MIT,MIT,US,
jupyter/notebook,,@jupyterlab/notebook,@jupyterlab/docregistry,unknown,unknown,US,
jupyter/notebook,,@octokit/request-error,@octokit/types,MIT,MIT,US,
