repo,sha,parent,child,lic_parent,lic_child,jurisdiction,label,label_source,label_confidence
pallets/flask,,com.github.pallets/flask,redis,unknown,MIT,US,compatible,child_permissive,high
pallets/flask,,com.github.pallets/flask,actions/checkout,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pytest-qt,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,sqlalchemy,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pyiceberg,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,tzdata,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,gitpython,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,mamba-org/setup-micromamba,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,mymindstorm/setup-emsdk,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,numexpr,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,ipywidgets,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,asv,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,nbsphinx,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,flake8,unknown,MIT,US,compatible,child_permissive,high
pandas-dev/pandas,,com.github.pandas-dev/pandas,pandoc,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,sphinx-design,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,notebook,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pickleshare,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,adbc-driver-postgresql,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pygments,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,actions/upload-artifact,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pyqt5,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pyarrow,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pyreadstat,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,lxml,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,dask,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pytz,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pymysql,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,actions/setup-node,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,beautifulsoup4,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pypa/cibuildwheel,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,adbc-driver-sqlite,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,html5lib,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,gcsfs,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,types-pytz,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,ipykernel,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,jupyterlite-core,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,s3fs,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,meson,unknown,Apache-2.0,US,compatible,child_permissive,high
pandas-dev/pandas,,com.github.pandas-dev/pandas,actions/stale,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,feedparser,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,types-python-dateutil,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,psycopg2-binary,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pandas-dev/github-doc-previewer,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,scipy,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,ipython,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pytest-xdist,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pre-commit,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,xlrd,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,sphinx-copybutton,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,jupyterlite-pyodide-kernel,unknown,unknown,US,compatible,default_compatible,low
pandas-dev/pandas,,com.github.pandas-dev/pandas,pyxlsb,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/download-artifact,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,ninja,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pypa/gh-action-pypi-publish,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,polars,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pytest-cov,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,codespell-project/actions-codespell,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/setup-python,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,sphinx-gallery,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,cython,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,github/codeql-action/analyze,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,github/codeql-action/autobuild,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,matplotlib,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions-ecosystem/action-remove-labels,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,peter-evans/create-pull-request,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pillow,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,thomasjpfan/labeler,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,joblib,unknown,BSD-2-Clause AND BSD-3-Clause,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pytest,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/cache,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,codespell-project/codespell-problem-matcher,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,threadpoolctl,unknown,BSD-2-Clause AND BSD-3-Clause,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scientific-python/action-towncrier-changelog,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pypa/cibuildwheel,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,seaborn,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,numpy,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,meson-python,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,github/codeql-action/init,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/checkout,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,conda-incubator/setup-miniconda,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pytest-xdist,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scikit-learn,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scientific-python/circleci-artifacts-redirector-action,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/upload-artifact,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scientific-python/upload-nightly-action,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scipy,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,andymckay/labeler,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pandas,unknown,unknown,US,compatible,default_compatible,low
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scikit-image,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,itemloaders,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,cssselect,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,parsel,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,tldextract,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,w3lib,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,codecov/test-results-action,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,pre-commit/action,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,service-identity,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,sphinx,unknown,BSD-2-Clause AND BSD-2-Clause-Views AND BSD-3-Clause,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,pypa/gh-action-pypi-publish,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,pypydispatcher,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,sphinx-rtd-theme,unknown,MIT AND OFL-1.1,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,zope-interface,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,cryptography,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,pydispatcher,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,protego,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,sphinx-notfound-page,unknown,MIT,US,compatible,child_permissive,high
scrapy/scrapy,,com.github.scrapy/scrapy,twisted,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,packaging,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,defusedxml,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,actions/setup-python,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,lxml,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,actions/checkout,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,codecov/codecov-action,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,itemadapter,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,queuelib,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,pyopenssl,unknown,unknown,US,compatible,default_compatible,low
scrapy/scrapy,,com.github.scrapy/scrapy,sphinx-rtd-dark-mode,unknown,MIT,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,markdown-include-variants,unknown,MIT,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/upload-artifact,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,passlib,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/labeler,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,typing-extensions,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,inline-snapshot,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,pydantic-settings,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,playwright,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,mxschmitt/action-tmate,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,tiangolo/issue-manager,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,cairosvg,unknown,LGPL-2.0-or-later AND LGPL-3.0 AND LGPL-3.0-only AND LGPL-3.0-or-later,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,pypa/gh-action-pypi-publish,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,cloudflare/wrangler-action,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,mypy,unknown,MIT,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,jieba,unknown,MIT,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,anyio,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/setup-python,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,ruff,unknown,0BSD AND Apache-2.0 AND BSD-3-Clause AND MIT,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,pydantic,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,starlette,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,pygithub,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,gitpython,unknown,BSD-3-Clause,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,flask,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,mkdocstrings,unknown,ISC,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/add-to-project,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,mkdocs-material,unknown,MIT,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,types-orjson,unknown,Apache-2.0,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,httpx,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/download-artifact,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,black,unknown,MIT,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,re-actors/alls-green,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,sqlmodel,unknown,MIT,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,mkdocs-macros-plugin,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,tiangolo/latest-changes,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,pre-commit,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,astral-sh/setup-uv,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,coverage,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,pillow,unknown,LicenseRef-scancode-secret-labs-2011 AND MIT-CMU,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/cache,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,mkdocs-redirects,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,dirty-equals,unknown,MIT,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/checkout,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,types-ujson,unknown,Apache-2.0,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,griffe-typingdoc,unknown,ISC,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,smokeshow,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,pyyaml,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,typer,unknown,MIT,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,mdx-include,unknown,unknown,US,compatible,default_compatible,low
tiangolo/fastapi,,com.github.fastapi/fastapi,pydantic-ai,unknown,MIT,US,compatible,child_permissive,high
tiangolo/fastapi,,com.github.fastapi/fastapi,pytest,unknown,unknown,US,compatible,default_compatible,low
twisted/twisted,,com.github.twisted/twisted,codecov/codecov-action,unknown,unknown,US,compatible,default_compatible,low
twisted/twisted,,com.github.twisted/twisted,actions/cache,unknown,unknown,US,compatible,default_compatible,low
twisted/twisted,,com.github.twisted/twisted,CodSpeedHQ/action,unknown,unknown,US,compatible,default_compatible,low
twisted/twisted,,com.github.twisted/twisted,actions/upload-artifact,unknown,unknown,US,compatible,default_compatible,low
twisted/twisted,,com.github.twisted/twisted,pypa/gh-action-pypi-publish,unknown,unknown,US,compatible,default_compatible,low
twisted/twisted,,com.github.twisted/twisted,actions/setup-python,unknown,unknown,US,compatible,default_compatible,low
twisted/twisted,,com.github.twisted/twisted,actions/checkout,unknown,unknown,US,compatible,default_compatible,low
twisted/twisted,,com.github.twisted/twisted,actions/download-artifact,unknown,unknown,US,compatible,default_compatible,low
twisted/twisted,,com.github.twisted/twisted,twisted/python-info-action,unknown,unknown,US,compatible,default_compatible,low
twisted/twisted,,com.github.twisted/twisted,mxschmitt/action-tmate,unknown,unknown,US,compatible,default_compatible,low
