repo,sha,parent,child,lic_parent,lic_child,jurisdiction,label,label_source,label_confidence
encode/uvicorn,,com.github.encode/uvicorn,httpx,unknown,BSD-3-Clause,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,mkdocstrings-python,unknown,ISC,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,pytest,unknown,MIT,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,twine,unknown,Apache-2.0,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,actions/checkout,unknown,unknown,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,types-click,unknown,Apache-2.0,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,coverage-enable-subprocess,unknown,unknown,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,ruff,unknown,0BSD AND Apache-2.0 AND BSD-3-Clause AND MIT,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,cryptography,unknown,Apache-2.0 OR BSD-3-Clause OR (Apache-2.0 AND BSD-3-Clause),US,compatible,heuristic_or_child_permissive,medium
encode/uvicorn,,com.github.encode/uvicorn,actions/download-artifact,unknown,unknown,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,wsproto,unknown,MIT,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,pypa/gh-action-pypi-publish,unknown,unknown,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,types-pyyaml,unknown,Apache-2.0 AND MIT,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,mkdocs-llmstxt,unknown,unknown,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,trustme,unknown,Apache-2.0 AND MIT,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,mkdocs,unknown,BSD-2-Clause AND BSD-3-Clause,US,compatible,default_compatible,low
jupyter/notebook,,@istanbuljs/load-nyc-config,find-up,unknown,unknown,US,compatible,default_compatible,low
jupyter/notebook,,git-semver-tags,semver,unknown,ISC,US,compatible,child_permissive,high
jupyter/notebook,,@lerna/create,pify,unknown,MIT,US,compatible,child_permissive,high
jupyter/notebook,,send,range-parser,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,speech-rule-engine,wicked-good-xpath,Apache-2.0,MIT,US,compatible,child_permissive,high
jupyter/notebook,,@babel/core,debug,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,postcss-modules-local-by-default,postcss-selector-parser,unknown,MIT,US,compatible,child_permissive,high
jupyter/notebook,,node-gyp,rimraf,MIT,ISC,US,compatible,child_permissive,high
jupyter/notebook,,vega-wordcloud,vega-util,BSD-3-Clause,BSD-3-Clause,US,compatible,child_permissive,high
jupyter/notebook,,jest-environment-node,@jest/types,unknown,MIT,US,compatible,child_permissive,high
jupyter/notebook,,duplicate-package-checker-webpack-plugin,find-root,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,braces,fill-range,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,side-channel,object-inspect,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,@stdlib/streams,@stdlib/assert,unknown,Apache-2.0,US,compatible,child_permissive,high
jupyter/notebook,,safe-array-concat,isarray,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,promise-retry,retry,unknown,MIT,US,compatible,child_permissive,high
